Year,Make,Model,Mileage,Price,Body,Color,Engine,Country,Make_Model
2015,Dodge,Challenger,41904,17998,Coupe,Black,6 Cyl,USA,Dodge Challenger
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2014,Dodge,Dart,35920,10495,Sedan,Blue,4 Cyl,USA,Dodge Dart
2015,Dodge,Challenger,26109,18591,Coupe,Red,6 Cyl,USA,Dodge Challenger
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2013,Dodge,Avenger,83506,6550,Sedan,Blue,4 Cyl,USA,Dodge Avenger
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2014,Dodge,Journey,49809,15778,SUV,Black,4 Cyl,USA,Dodge Journey
2015,Dodge,Charger,42589,18890,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Charger,16279,20488,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Journey,20448,17777,SUV,Red,4 Cyl,USA,Dodge Journey
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2014,Dodge,Charger,35263,16995,Sedan,Blue,6 Cyl,USA,Dodge Charger
2016,Dodge,Charger,47403,21995,Sedan,Black,8 Cyl,USA,Dodge Charger
2017,Dodge,Challenger,18786,26999,Coupe,Red,8 Cyl,USA,Dodge Challenger
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2016,Dodge,Charger,22022,17399,Sedan,White,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,87646,18995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2014,Dodge,Dart,35920,10495,Sedan,Blue,4 Cyl,USA,Dodge Dart
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,22498,22995,Coupe,Silver,8 Cyl,USA,Dodge Challenger
2014,Dodge,Journey,36519,11990,SUV,Silver,4 Cyl,USA,Dodge Journey
2017,Dodge,Journey,18089,16900,SUV,Gray,4 Cyl,USA,Dodge Journey
2016,Dodge,Challenger,20284,19995,Coupe,White,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,38123,16995,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2014,Dodge,Grand,62235,10998,Minivan,Gray,6 Cyl,USA,Dodge Grand
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2013,Dodge,Journey,65306,11995,SUV,Black,6 Cyl,USA,Dodge Journey
2015,Dodge,Journey,44535,12988,SUV,White,4 Cyl,USA,Dodge Journey
2014,Dodge,Challenger,60940,16500,Coupe,Black,6 Cyl,USA,Dodge Challenger
2013,Dodge,Challenger,46659,19995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2016,Dodge,Durango,34966,31288,SUV,Gray,8 Cyl,USA,Dodge Durango
2015,Dodge,Challenger,87646,18995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,59430,14988,Sedan,Gray,6 Cyl,USA,Dodge Charger
