2014 Dodge Grand Caravan SE	$9,999	99,252 miles	Minivan 	Black 	6 Cyl 
2014 Dodge Avenger SE	$6,495	102,034 miles	Sedan 	Black 	4 Cyl 
2016 Jeep Wrangler Sahara	$33,688	15,674 miles	SUV 	Red 	6 Cyl 
2011 BMW 3 Series 328i	$10,966	100,273 miles	Convertible 	Silver 	6 Cyl 
2015 Ford Explorer XLT	$24,983	23,640 miles	SUV 	White 	6 Cyl 
2013 Nissan Juke NISMO	$12,917	34,662 miles	SUV 	Black 	4 Cyl 
2015 Ford F-250 XLT	$41,999	59,829 miles	Pickup 	White 	8 Cyl 
2017 GMC Sierra 1500 SLT	$37,688	11,811 miles	Pickup 	Black 	8 Cyl 
2017 Chevrolet Cruze LS	$12,988	23,276 miles	Sedan 	Silver 	4 Cyl 
2016 Ford Mustang GT	$26,455	14,231 miles	Coupe 	Yellow 	8 Cyl 
2015 Lincoln MKC	$18,982	58,492 miles	SUV 	Black 	4 Cyl 
2011 Honda Pilot EXL	$11,259	133,295 miles	SUV 	Gray 	6 Cyl 
2015 Dodge Challenger SXT	$17,998	41,904 miles	Coupe 	Black 	6 Cyl 
2016 Kia Rio LX	$9,997	15,450 miles	Sedan 	White 	4 Cyl 
2013 Chevrolet Suburban 1500 LT	$23,995	79,457 miles	SUV 	Black 	8 Cyl 
2015 Toyota 4Runner Limited Edition	$31,888	46,599 miles	SUV 	Silver 	6 Cyl 
2016 Chevrolet Trax LS	$13,695	14,124 miles	SUV 	Red 	4 Cyl 
2015 Chevrolet Suburban LT	$41,884	25,192 miles	SUV 	Black 	8 Cyl 
2016 Lincoln MKC Reserve	$27,966	8,138 miles	SUV 	Silver 	4 Cyl 
2016 GMC Sierra 1500 SLE	$29,995	10,914 miles	Pickup 	Red 	8 Cyl 
2015 Mercedes-Benz C-Class C 250	$23,995	20,773 miles	Coupe 	Black 	4 Cyl 
2015 Ford F-150 Lariat	$38,499	22,823 miles	Pickup 	Brown 	8 Cyl 
2015 Chevrolet Tahoe LTZ	$41,995	50,095 miles	SUV 	Beige 	8 Cyl 
2016 Kia Optima SX	$22,982	11,484 miles	Sedan 	Black 	4 Cyl 
2016 Mitsubishi Outlander Sport SEL	$16,992	15,086 miles	SUV 	Silver 	4 Cyl 
2013 Ford Escape SEL	$9,999	95,793 miles	SUV 	Gray 	4 Cyl 
2007 Infiniti G35	$6,999	112,457 miles	Sedan 	White 	6 Cyl 
